Level1Description,Level1Code,Level2Code,Level2Description,SKU,ProgramCode,ExcludeFromBaseInd,ChainName
GC100000,DD-Retail,1001,Beverage,101026553,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101026554,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101026555,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101026556,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101026557,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101026558,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035431,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035432,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035433,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035436,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035443,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035444,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035054,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035053,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035181,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035182,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035079,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035078,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035227,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035076,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035154,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035152,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035153,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035073,AIQ,N,AIQ_CHAIN
GC100000,DD-Retail,1001,Beverage,101035074,AIQ,N,AIQ_CHAIN
