OrganizationCode,ProgramCode,PointTypeCode1,IsDefaultPointType1,PointTypeCode2,IsDefaultPointType2,PointTypeCode3,IsDefaultPointType3,ProgramName,ProgramDescription,IsCrmProgram,ProgramBusinessAllianceManager,DefaultCalendarType,TermsAndConditions1,TermsAndConditions2,TermsAndConditions3
CLUCK,PP,EGGS,TRUE,CLUCK_CASH,FALSE,POINTS,FALSE,Poultry Perks,Poultry Perks,FALSE,Steve Jobs,Fiscal(4-5-4),"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
FR,FR,POINTS,TRUE,EGGS,FALSE,CLUCK_CASH,FALSE,Fall River Rewards,Fall River Rewards Program,FALSE,Steve Jobs,Fiscal(4-5-4),"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
IRIS,IR,POINTS,TRUE,EGGS,FALSE,CLUCK_CASH,FALSE,Iris Rewards,Iris Rewards Program,FALSE,Steve Jobs,,"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
GRATIS,GR,POINTS,TRUE,EGGS,FALSE,CLUCK_CASH,FALSE,Gratis Rewards,Gratis Rewards Program,FALSE,Steve Jobs,,"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
CARROT,CR,POINTS,TRUE,EGGS,FALSE,CLUCK_CASH,FALSE,Carrot Rewards,Carrot Rewards Program,FALSE,Steve Jobs,,"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
RGR,RGRJOBS,POINTS,TRUE,EGGS,FALSE,CLUCK_CASH,FALSE,RGR Other Jobs,RGR Other Jobs Program,FALSE,Steve Jobs,,"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
EB,EB,EGGS,TRUE,CLUCK_CASH,FALSE,POINTS,FALSE,English Brand,English Brand Program,FALSE,Steve Jobs,,"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
NCD,NCD,EGGS,TRUE,CLUCK_CASH,FALSE,POINTS,FALSE,No Custom Data,No Custom Data Program,FALSE,Steve Jobs,,"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
CLUCK,PWP,EGGS,TRUE,CLUCK_CASH,FALSE,POINTS,FALSE,Pay with Points,Pay with Points,FALSE,Steve Jobs,Fiscal(4-5-4),"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
CLUCK,PWPRWD,EGGS,TRUE,CLUCK_CASH,FALSE,POINTS,FALSE,Pay with Points,Pay with Points,FALSE,Steve Jobs,Fiscal(4-5-4),"No warranty is provided regarding the accuracy or adequacy of this tool for every situation. If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you are not sure about any legal questions, or have any questions or doubts about a privacy policy you should consult with a lawyer or law firm specialized in digital communications law.","If you do not like it, do not use it."
