ProgramCode,TierReasonCode,Description,DisplayOrder,IsDisplayed
PP,PPGWILL,Goodwill upgrade,1,true
PP,PPMERGE,This is a MERGE Tier Reason,2,false
PP,PPDOWN,Requalification Downgrade,3,true
PP,PPKEEP,Requalification Maintain,4,false
FR,FRGWILL,Goodwill upgrade,1,true
FR,FRMERGE,This is a MERGE Tier Reason,2,false
FR,FRDOWN,Requalification Downgrade,3,true
FR,FRKEEP,Requalification Maintain,4,false
IR,IRGWILL,Goodwill upgrade,1,true
IR,IRMERGE,This is a MERGE Tier Reason,2,false
IR,IRDOWN,Requalification Downgrade,3,true
IR,IRKEEP,Requalification Maintain,4,false
GR,GRGWILL,Goodwill upgrade,1,true
GR,GRMERGE,This is a MERGE Tier Reason,2,false
GR,GRDOWN,Requalification Downgrade,3,true
GR,GRKEEP,Requalification Maintain,4,false
